题名,摘要,关键词,发表年份,作者,单位,文献来源,中图分类号
多媒体阅览室的管理实践与探讨," 随着高校多媒体阅览室的普及与发展,如何科学管理多媒体阅览室已成为图书馆工作的问题之一。笔者结合工作实践,针对多媒体阅览管理工作中出现的一系列问题,论述了一套行之有效的管理方法。",多媒体阅览室;;管理;;实践;,2001/8/15,"贾红,张江燕,顾剑芳,何雷",无单位信息,医学情报工作,G252
知识经济与医院图书馆文献信息服务," 论述知识经济与医院图书馆文献信息服务的关系,并从三个方面论述了医院图书馆文献信息服务在知识经济时代将更有作为,为医院的全面发展服务,使医院在知识经济时代更具有竞争力。",知识经济;;医院图书馆;;文献信息服务;,2001/8/15,罗曼,广州市第二人民医院图书馆 510150,医学情报工作,G255
应用高科技手段加强图书馆建设," 结合实际讨论了医院图书馆应如何适应新形势发展的要求,利用高新科学技术手段进行图书馆的自动化、网络化、信息化建设,并在发展建设中不断发掘自身优势,开展特色服务。",医院图书馆;;图书馆建设;;特色服务;,2001/8/15,"朱玲,翟萌",无单位信息,医学情报工作,G250
交替类目的合理界定有助于体现专业馆的藏书特色," 叙述了中等卫校图书馆在使用交替类目时应注意的几个方面,使其既突出其藏书特色,又给读者带来了方便。",藏书特色;;交替类目;;分类表;,2001/8/15,张兴萍,河南省信阳卫生学校图书馆 464000,医学情报工作,G253
医学英语缩略语在MEDLINE检索中的作用," 阐述了部分医学英语缩略语的结构,对15个英语缩略语在MEDLINE光盘中检索,然后进行对比分析,指出在医学文献检索中要用关键词、医学主题词、缩略语以及全称进行检索,这对MEDLINE的用户来说有着重要的含义。",医学英语;;缩略语;;MEDLINE;;检索;,2001/8/15,郑静,广西医科大学图书馆 530021,医学情报工作,R-5
动物试验表明干细胞移植可用于治疗中风," &lt;正&gt; 英国科学家通过动物试验发现,干细胞疗法有可能修复中风带来的脑损伤。给中风患者移植干细胞,可 望使他们恢复行动、感知甚至理解力。干细胞是未分化的原始细胞,可以发育成为神经细胞、血细胞等多种不 同的细胞。将干细胞植入脑部并诱导它发育成脑细胞,有可能用于治疗中风。",,2001/8/15,,无单位信息,医学情报工作,R743
CBMdisc数据库计算机辅助标引技术中值得注意的几个问题," 计算机辅助标引技术应用于“中国生物医学文献数据库(CBMdisc)”的文献加工过程,对传统的文献加工处理手段而言,是技术上的一大进步。笔者仅就近年来标引工作实践中存在的某些问题谈一下个人体会。","文摘编写和标引;;数据库,文献型;",2001/8/15,"诸文雁,任慧玲",无单位信息,医学情报工作,TP391.7
奥发明快速测定疯牛病病原体新方法," &lt;正&gt; 奥地利克普勒大学的科学家新研制出了一台高灵敏度荧光显微镜和一种特殊抗体,两者相配合可以快速测定活牛是否含有疯牛病病原体。 疯牛病的病原体绝大部分集中在牛脑和脊髓里,在牛血中含量极其稀少。克普勒大学生理研究所的科学家研制出的高灵敏度荧光显微镜,可以观察到血液中以前看不见的微小分子,借此可以确定牛血里的疯牛病",,2001/8/15,,无单位信息,医学情报工作,S854.4
医学期刊三线表的使用及其再认识," 调查了230种医学期刊的表格形式,三线表已被广泛采用,实例分析了其编制中的不当之处,应进一步加强对三线表特征的认识,提高编制技能。",医学期刊;;三线表;,2001/8/15,夏庆民,《中国肿瘤》杂志社 310022,医学情报工作,R-5
心脏病人不宜多睡," &lt;正&gt; 有些患心脏病的老人总认为,休息越多,越能长寿。其实,这是一个误解。美国心脏病专家对40～80岁 的男女做了80万份调查,两年后他再分析这些人所填的调查表,并与他们的现状进行比较,发现每晚睡眠10 个小时的人比睡眠7个小时的人,因心脏病死亡的比例高一倍,因中风而死亡的比例则高出35倍,这说明睡",,2001/8/15,,无单位信息,医学情报工作,R161
肿瘤学期刊文献标识码的使用现状分析," 通过对13家入编《中国学术期刊(光盘版)专题文献数据库》的肿瘤学期刊中文献标识码使用情况的分析,认为目前文献标识码标识混乱,文章格式不合规范并具体分析了原因。",肿瘤学;;期刊;;文献标识码;,2001/8/15,章琴芳,《浙江肿瘤》编辑部 310022,医学情报工作,R-5
标准层次编号在医学期刊中的应用," 分析标准层次编号在医学期刊中的应用现状,并提出正确应用标准层次编号的对策。",标准化;;标准层次编号;;医学期刊;,2001/8/15,"李彩芳,孟冰",无单位信息,医学情报工作,R-5
医学文献检索毕业后教育的思考," 对247名临床住院医生进行调查,了解其医学文献检索知识的获取途径和水平,提出应对全省住院医生进行毕业后教育,并对教学内容和教材进行了讨论。",医学文献情报;;检索;;毕业后教育;;调查;,2001/8/15,伍洪波,湖南省卫生厅医学考试培训中心 410008,医学情报工作,R-4
《医学信息检索与利用》(第二版)读后浅见," &lt;正&gt; 当今世界科学技术的发展日新月异,各种各样的信息量空前剧增,客观形势把我们带入了知识经济的信息网络时代,谁能最快最多地掌握有效的信息,谁就能最先取得主动和胜利。因此,如何迅速、简便而准确地获得信息,这是大家最为关注的问题。",,2001/8/15,邓品山,湖南医科大学 410078,医学情报工作,R-5
晒太阳过多老来易失明," &lt;正&gt; 美国最近公布的一项研究表明,如果夏季每天在强烈阳光下暴晒5小时以上,到老年时失明的危险性会增加一倍。 最近,美国威斯康星大学的研究人员对5 000名中老年人进行了初步调查。调查显示,年轻时在烈日炎炎下暴晒与老年黄斑病变(ARM)有直接关系。强烈的阳光会损伤视网膜,而视网膜受损则会引起眼底出血和",,2001/8/15,,无单位信息,医学情报工作,R161
对疾病认识的最新概念," &lt;正&gt; 疾病是破坏人类健康的顽敌,尽管科学家们不断探索疾病的发生原因与防治办法,但导致疾病的真正元凶是什么,多少年来,一直困惑着科学家们。为此,科学们深入研究基因与疾病的关系,从而形成了对疾病认识的最新概念:“人类的DNA序列是人类的真谛,这个世界上",,2001/8/15,,无单位信息,医学情报工作,R-0
基因工程的概念," &lt;正&gt; 基因工程(geneticengineering),也叫基因操作、遗传工程,或重组体DNA技术。它是一项将生物的某个基因通过基因载体运送到另一种生物的活性细胞中,并使之无性繁殖(称之为“克隆”)和行使正常功能(称之为“表达”),从而创造生物新品种或新物种的",,2001/8/15,,无单位信息,医学情报工作,Q789
卫生部医药卫生科技项目查新咨询工作考核评估指标体系及其实施研究," 本文回顾了查新咨询考核评估指标体系研究和实施的背景,从酝酿、研究、制定到实施的整个过程,特别突出了设计思路和研究方法;从宏观管理的角度,对制定考核评估指标体系的目的、条件、指导思想加以阐述,并具体论述了项目指标的确定和实施方案的执行以及所取得的成效。",查新咨询;;指标体系;;考核评估;,2001/6/15,"王汝宽,刘俊立,马智,于清涛,李海燕",无单位信息,医学情报工作,R-5
新信息环境下我国医药信息咨询业的发展思路," 阐述了新信息环境的产生及其特点和对医药信息咨询业的影响,并提出新信息环境下我国医药信息咨询业的发展思路。",信息环境;;计算机网络;;医药信息;;咨询;,2001/6/15,彭曼华,湖南省医学信息研究所 410008,医学情报工作,R-5
加强横向联合 开展战略信息研究," 介绍同济医科大学医学情报研究所通过与另外两家单位横向联合,开展“武汉市生物技术制药业发展战略研究”,取得了显著的社会效益和经济效益,提出医学情报机构必须走横向联合的道路,进行战略性信息研究。",横向联合;;战略研究;;医学情报;,2001/6/15,秦惠基,同济医科大学医学情报研究所 430030,医学情报工作,G359.2
论知识经济时代的预防医学信息服务," 知识经济的兴起与发展对预防医学信息服务已产生巨大影响,因此预防医学信息服务工作者应更新观念,根据预防医学信息的内在特征,完善预防医学信息服务体系,做好规范化、标准化工作。预防医学信息服务主要通过活动中各类信息的收集、处理,使之成为有效信息,并应用于预防医学科研和管理。",预防医学;;知识经济;;信息服务;,2001/6/15,"饶华,徐波,万美",无单位信息,医学情报工作,R-5
MEDLINE光盘数据库中有关基因组学文献的统计分析," 通过关键词检索途径,对1995年以来MEDLINE收录的有关基因组学文献进行检索和统计分析,以期为相关科研人员提供有价值的文献信息。",MEDLINE;;基因组学;;文献统计;,2001/6/15,"黄静,罗公发",无单位信息,医学情报工作,Q987
捕获闪光的原子," &lt;正&gt; 美国能源部所属的橡树山国家实验室的科学家设法捕获了纳米结晶中的单个原子,并在此基础上发现了原子的一些新特性。通过在常温下对原子进行研究,科学家发现在激光的刺激下,原子的亮度可提高四成,找到了一种拥有全新光学特性的新系列纳米材料。 (摘自《北京青年报》)",,2001/6/15,,无单位信息,医学情报工作,O562
医学论文中统计学方法的正确运用," 为了提高医学期刊论文的科学性,对目前论文中的统计方法误用及有关问题进行较全面的分析,以引起作者及编辑人员的重视,进一步提高医学论文的学术质量。",医学论文;;统计学;;方法;,2001/6/15,"温顺妮,阎书凤",无单位信息,医学情报工作,R-5
在医学领域中善用网上的信息," 随着互联网技术的发展,一些医学网站、数据库相应建立,对此我们应善用这些网上信息。",医学信息;;计算机网络;;数据库;;网站;;网上信息;,2001/6/15,陆如山,中国医学科学院医学信息研究所 100020,医学情报工作,R-5
Internet上查找医学信息的途径," 旨在提供Internet上查找某些医学信息资源的方法及检索途径。分析介绍了查找不同医学信息的具体网址及查找各种医学资源所采用的不同方法和适用范围,并根据不同需要,对各种医学信息资源加以分类。",Internet;;医学信息;;数据库;;网上检索;,2001/6/15,张文举,解放军医学图书馆 100039,医学情报工作,R-5
网络化医院综合统计信息服务系统导航主页的设计与实现," 介绍基于Web的医院综合统计信息服务系统的交互式导航主页的设计目的、制作技术及与应用程序链接的技术实现,并进行效果评价。",导航主页;;网页制作;;医院综合统计信息服务系统;,2001/6/15,"罗娟,刘丽华,唐晓东,王晓智",无单位信息,医学情报工作,R197.324
论新形势下医学专业图书馆的图书选订工作," 信息时代图书馆仅仅依据传统书目单选订图书的方法已经不能适应时代的发展需求,通常具有盲目性,造成经费的浪费。因此,首先要注意优秀图书的选订,如外文书《西氏内科学》及中文书《发热疾病的诊断与病例分析》等,同时还要注意同类图书的比较,利用有限的经费获取最大效益。",图书选订;;文献评价;;医学院校;,2001/6/15,"刘红宇,孙晓丹,何凌",无单位信息,医学情报工作,G253
用DNA制造出纳米镊子," &lt;正&gt; 科学家在日前出版的《自然》杂志上报告说,用DNA(脱氧核糖核酸)制造出了一种纳米级的镊子。美国朗讯科技公司和英国牛津大学的科学家说利用DNA基本元件碱基的配对机制,可以用DNA为“燃料”控制这种镊子反复开合,其每条臂只有7纳米长。科学家说,这种镊子尚不能真正用于制造纳米机械,因为目前还有",,2001/6/15,,无单位信息,医学情报工作,Q819
中山医大研究生学位论文的情报价值及科学管理," 笔者分析了全国重点医科院校之一的中山医科大学研究生学位论文(主要为博士研究生学位论文)的特点及其情报价值,并介绍我馆对其进行计算机管理后所具备的独特检索功能。",研究生;;学位论文;;情报价值;;数据管理;,2001/6/15,肖曼群,中山医科大学图书馆 510089,医学情报工作,R-5
如何管理外文医学期刊中的增刊," 介绍了外文医学期刊中增刊的特点,并结合本馆的工作实践,就外文医学期刊管理与服务工作中与增刊有关的几个环节谈了个人的看法。",外文医学期刊;;增刊;;管理;,2001/6/15,周松芬,温州医学院附属第一医院图书馆 325000,医学情报工作,R-5
高校图书馆图书分类编目人员做书评工作的探讨," 从图书分类编目人员做书评工作的基本素质;书评工作要定时、定人、有计划、持之以恒;书评的特点:科学准确,信息性,有面有点,形式多样生动活泼等三个方面对书评工作进行了探讨。",书评;;图书馆;;分类编目;,2001/6/15,杨兴菊,广东医学院图书馆 524023,医学情报工作,G254
信息检索技术的发展概况及趋势," 信息检索技术作为荻取信息的方法和手段,已经经历了一段很长的发展过程。特别是计算机技术、通讯技术、多媒体技术和网络技术的发展进步,使信息处理的模式发生了转变,促进了信息技术的变革,产生了许多新颖、快速、方便的信息检索技术和方式,提高了各类信息的利用效率,方便了用户查询。笔者就信息检索技术的发展概况、现状及未来的发展趋势做了简要介绍。",信息检索;;检索技术;;人工智能;;电子图书馆;;多媒体技术;;虚拟现实;;Internet;;专家系统;;模式识别;;机器翻译;,2001/6/15,"龚文涛,徐国桓,武立莹,刘会霞,张世红",无单位信息,医学情报工作,G250.7
信息检索系统的检索效率影响因素研究进展," 影响信息检索系统检索效率的因素很多。我国医学信息检索系统与国外先进的检索系统相比,文献收录、词表与标引、检索技术、原文链接、智能化、安全问题等方面有待研究解决。",信息检索系统;;检索效率;;检索语言;;标引技术;;检索技术;,2001/6/15,毛雅君,中国协和医科大学研究生院 中国医学科学院医学信息所100020,医学情报工作,G250.7
试析医学科技情报查新工作中的有关问题," 对“查新检索咨询委托单”中的年龄段划分,“查新报告书”中的查新类别、结论等进行探讨。",查新咨询;;查新报告;;委托单;,2001/6/15,"辜小汉,万国珍",无单位信息,医学情报工作,R-5
MEDLINE数据库(1982～1998年)中原癌基因ras的主题词分析," 利用MEDLINE光盘检索原癌基因ras专题文献,分析比较ras基因的主题词和副主题词,对该专题的研究发展做了分析预测。",基因RAS;;文献计量学专题信息研究;;主题词;;副主题词;,2001/6/15,"翟俊霞,刘玉华,安翠平",无单位信息,医学情报工作,R-5
科技期刊面临WTO的机遇与挑战," 简介WTO的概况及中国加入WTO的原因,并论述了加入WTO对中国科技期刊出版事业的影响以及中国科技期刊界的对策。",科技期刊;;出版;;WTO;,2001/6/15,马智,河北省医科院医学情报研究所 050021,医学情报工作,G237.5
培养21世纪高素质的医院图书馆员," 论述了21世纪医学图书馆员应具备哪些素质并和国外情况进行比较,最后介绍了几种提高馆员素质的方法和途径。",21世纪;;医学图书馆;;馆员;;素质;,2001/6/15,"杨文兰,冷荣新,高峰",无单位信息,医学情报工作,G251.6
21世纪专门图书馆员的专业资格——美国专门图书馆员专业资格委员会报告," 着重介绍了在当前社会、技术、工作环境飞速变化的情况下,美国专门图书馆员的价值及他们需要具备的专业资格和技能,包括在信息资源、信息获取、信息技术、信息管理及研究等领域的知识和提供图书信息服务的能力,以及使图书馆工作更为有效的一系列技能、态度和价值观,从而接受信息时代的新的挑战。",美国;;专门图书馆员;;职业资格;;个人能力;,2001/6/15,"李军,杨国忠",无单位信息,医学情报工作,G259.712
立足于培养大学生的信息素质 搞好文献检索课教学," 论述了高等教育改革在以素质教育为目标的大环境下,文献检索课应立足于培养大学生的信息素质,搞好教学各方面的工作,诸如教材建设、教学管理、教学方法等各方面的问题。",信息素质;;医学教育;;文献检索;,2001/6/15,"滕艳霞,李明军,孙金花",无单位信息,医学情报工作,G252
医学文检课教学改革探索及思考," 传统的医学文检课在教学内容、手段和方法上都存在与现代信息检索技术不相适应的方面,文检课教学改革势在必行。本文从四个方面谈了对文检课教学改革的尝试,并提出进一步完善的建议。",医学文献检索;;课程改革;;教学模型;,2001/6/15,闫蓓,武警医学院图书馆 300162,医学情报工作,R-4
动物工厂," &lt;正&gt; 动物工厂是指利用动物作为生产药品的工厂。它的基本原理是,利用遗传基因工程获得能够产生有用物质的动物,然后利用克隆技术获得大量这样的动物,并用它们大量生产这种有用物质,就像在工厂批量生产一样。这是1997年诞生的克隆技术最有价值的应用。不过,利用克隆技术也存在有一些伦理问题,另外,技术上也存在一些尚待解决的问题。 (摘自《中国科技月报》)",,2001/6/15,,无单位信息,医学情报工作,R346
方法用来无定式——医学图书情报专业论文写作漫谈," &lt;正&gt; 从小学到大学,乃至走上工作岗位,人人都要动笔写文章、写书信,但其辛苦程度当然是因人而异。古人云:“铁肩担道义,妙手著文章”,似乎信手拈来皆成文章,但对于某些图书情报专业人员而言,并不显得轻松自如,甚至连一些专业毕业生也会为晋升",,2001/6/15,夏旭,第一军医大学图书馆 510515,医学情报工作,R-5
世界医学研究领域共同关注的热门论文,,,2001/6/15,冀玉静,无单位信息,医学情报工作,R-5
21世纪IT与健康," 通过第三次亚太医药信息学研讨会可看出亚太地区医学信息技术的发 展,并由此引发对我国医学信息领域发展的思考。",IT;;健康;;医学信息;,2001/4/15,王青,中国医学科学院医学信息研究所 100020,医学情报工作,R-5
关于与肿瘤坏死因子相关的凋亡诱导配体研究文献分析," 利用MEDLINE光盘数据库、中国生物医学文献光盘数据库及中文生物医学期刊数据库,检索有关肿瘤坏死因子相关的凋亡诱导配体(TRAIL)研究的中外文文献,并对其年代与类型分布、语种与国家分布、期刊分布及主要主题词等方面进行统计分析。",TRAIL;;文献分析;,2001/4/15,刘春华,山东医科大学医学信息学教研室 250012,医学情报工作,R-5
医学信息资源的利用与二次文献类情报期刊," 通过对《国外医学》系列期刊的分析,阐述该类期刊在我国医疗卫生事业 发展中的作用。",国外医学;;信息传输;;资源共享;;二次文献;,2001/4/15,金谷英,上海市医学科学技术情报研究所 200031,医学情报工作,R-5
哈尔滨医科大学博士生导师论著被引用频次研究," 利用《中国科技论文统计与引文分析数据库》对我校博士生导师论著在1994～1998年间被引用频次进行计量分析,并在此基础上进行讨论。",CSTPC;;计量分析;;引文分析;;被引频次;;博士生导师;,2001/4/15,张明伟,哈尔滨医科大学图书馆 150086,医学情报工作,R-5
强化情报意识 为领导决策服务," 随着社会不断地发展,科学技术日新月异,将最新的科技信息提供给领 导,不仅可使决策者掌握最新动态,也可启迪决策思维。",情报意识;;领导决策;;服务;,2001/4/15,高家浩,四川省卫生管理干部学院图书馆 610041,医学情报工作,G350
纳米碳管钳开合自如," &lt;正&gt; 美国哈佛大学利伯及其同事研制出一种微型纳米钳,它有望成为科学家们操作生物细胞、装配毫微机械或进行微型手术的新工具。据英国《新科学家》杂志报道,该纳米钳主要通过一对碳纳米管来钳住微型特体。 当在纳米钳的两个电极上施加一定电压后,两碳纳米管臂会分别带上正、负静电荷,彼此间形成吸力,而",,2001/4/15,,无单位信息,医学情报工作,R318.6
PubMed检索MEDLINE新增功能简介, 介绍了通过PubMed因特网网站检索MEDLINE数据库新增加的功能。,PubMed;;MEDLINE;;检索;;功能;,2001/4/15,邓可刚,华西医科大学附属第一医院中国循证医学中心 610041,医学情报工作,TP391.3
网上生物医学搜索引擎——BioMedNet," 概括了网上大型生物医学搜索引擎-BioMedNet的结构、功能和使用方 法,并介绍了BioMedNet的检索规则和技巧。",搜索引擎;;信息资源;;生物医学;;Internet;,2001/4/15,"周瑛,董大钧,曹伟平",无单位信息,医学情报工作,TP393.09
Internet上医学各专业常用网址, 介绍Internet上英文医学信息资源的分布。,Internet;;医学信息;;信息资源;;英文;,2001/4/15,姜楠,天津医科大学第二医院图书馆 300211,医学情报工作,R-5
网上医学图书信息的获取, 论述了网上医学图书信息的获取途径。,信息检索;;医学图书;;互联网;,2001/4/15,黄宏亮,湖南医科大学图书馆 470078,医学情报工作,R-5
中国科学引文数据库浅析," 中国科学引文数据库光盘版提供了DOS和Windows两种版本,本文从运行环境、检索途径、检索方式、检索结果的显示/输出等方面对两种版本进行比较分析,以帮助用户更好地利用中国科学引文数据库。",数据库;;科学引文;;检索;,2001/4/15,陈文凯,武汉大学 2000年图书馆学专业研究生课程进修班学员 524023,医学情报工作,G353
浅论影响信息安全的三个因素," 随着计算机和网络通讯技术的迅猛发展,互联网越来越深入地渗透到社会的各个方面,但也引起了一系列网络安全问题,笔者从计算机硬件因素、软件因素、人为因素三个方面对网络安全问题做一些论述,并提出一些解决方法。",计算机网络;;信息安全;;因素;,2001/4/15,周慧芳,江苏盐城师范学院图书馆 224002,医学情报工作,TP309
知识经济下医学图书馆信息服务模式的构想," 着重阐述了在知识经济环境下,医学图书馆在信息服务方面遇到的一些 新问题,针对这些问题,应采取相应的解决办法,构建起新的服务模式,为广大用户服 务。",知识经济;;医学图书馆;;信息服务模式;,2001/4/15,卫红,第四军医大学训练部 710032,医学情报工作,G258
网络环境下的图书馆工作, 浅述了网络环境下图书馆职能、读者类型、图书馆工作的变化。,计算机网络;;图书馆;,2001/4/15,"吴珞华,徐芝琼",无单位信息,医学情报工作,G250
利用医院信息网络进行图书馆自动化建设的实践与思考," 主要就图书馆利用医院信息网络提供的技术支持进行自动化建设的实 践进行论述,并引发了关于医院在局域网络环境下进行图书馆信息网络建设的体会 与思考。",医院图书馆;;自动化;;信息网络;,2001/4/15,"吴健,李华才,杨焱",无单位信息,医学情报工作,G250.7
中国医学科学院图书馆外文期刊利用情况调查与分析," 运用文献计量学方法对我馆收藏1956～1997年间的西文期刊利用作了统计分析,结果显示我馆西文过期期刊利用率53.8％,核心期刊30种、常用期刊139种、次常用期刊350种,期刊文献半衰期为4.2年。据此,提出我馆期刊订购或削减及期刊馆藏布局的原则及方法。",外文期刊;;利用率;;核心期刊;;资源建设;,2001/4/15,"孙敏,李萍,闻亚媛,史忠秀,刘瑞霞",无单位信息,医学情报工作,G255
谈纲目购书," 分析了传统地通过书目预订获取图书的弊端,阐明采用纲目购书能够提 高采访工作的质量。",中文图书;;采访;;纲目采购;,2001/4/15,童玲玲,湖南南华大学图书馆 421001,医学情报工作,G253
如何利用剪报做好医学情报工作," 根据实际工作中的体会,对医院图书馆如何开发报纸资源,利用好剪报为 医院建设服务,从剪报的内容、方法、特点及应该注意的问题等方面谈了一些观点,以 期有助于提高医学情报服务水平。",剪报;;医学情报;;医院图书馆;,2001/4/15,"吴任萍,王晓恩",无单位信息,医学情报工作,R-5
纳米药丸杀死癌细胞," &lt;正&gt; 德国柏林夏里特医疗中心的一个研究小组采用分子医学纳米技术,发明了新的抗癌疗法。这种抗癌新疗法是对普通磁疗法的重大技术改进。普通磁疗法利用电磁场对肿瘤部位进行加热,当温度高于40摄氏度时,可以破坏癌细胞,但同时也损害到肿瘤周边的健康组织。新的磁疗法是将细微的铁氧体粒子用葡聚糖分子包",,2001/4/15,,无单位信息,医学情报工作,R730.5
多创新点项目查新咨询结论的实例分析," 笔者结合实例,提出对检出的相关文献进行适度的加工,与该项目的查 新要点进行对比分析,为成果鉴定提供可靠的依据。文后密切相关文献均按国家标 准GB7714—87著录,且附有委托查新用户的反馈意见。",数据检索;;查新咨询;;科研管理;;胃肿瘤;;实例分析;;结论;,2001/4/15,陈国琪,中华医学会上海分会 200040,医学情报工作,R-5
医学写作中应注意的几个问题," 医学写作要求按照科技期刊标准化、规范化的要求表述学术内容,适应信息传递、学术交流的需要。本文从医学期刊标准化、文题、文摘、图表与文章的关系、正确使用国际单位和量等几个方面进行论述。",医学写作;;科技期刊;;标准化;;规范化;;编辑;,2001/4/15,郑雨田,天津市第三中心医院肝胆疾病研究所 300170,医学情报工作,R-5
《医学研究通讯》录用稿件标准, 介绍了《医学研究通讯》杂志录用稿件的若干标准。,医学研究通讯;;稿件;;录用标准;,2001/4/15,"侯锡花,赵瑞芹,张继林,尹春梅",无单位信息,医学情报工作,R-5
影响科技期刊发行的因素及其对策," 发行是科技期刊实现社会效益和经济效益的桥梁,是科技期刊效益的综合反映。笔者从读者和基层发行单位的角度分析了影响科技期刊发行的几种因素,以期对增加科技期刊的发行量起到抛砖引玉的作用。",科技期刊;;发行;;对策;,2001/4/15,吴校连,佛山市第一人民医院图书馆 528000,医学情报工作,G235
研究生网络医学信息检索的教学实践与体会," 对我校两年来研究生网络医学信息检索教学的授课内容和方法做了简单介绍。根据教学中的体会,提出应加强实习环节并增加课时,加强教学研究,做好图书馆配套建设。",网络医学信息检索;;研究生教学;,2001/4/15,"张政宝,顾萍,吴娴波",无单位信息,医学情报工作,R-4
重新认识文检课的地位和作用加大其改革力度," 阐述了文献检索课在新型高等教育中的作用和地位,并对深化文献检索 课的改革提出几点见解。",文献检索;;作用;;教育改革;,2001/4/15,"杨嘉,王谊",无单位信息,医学情报工作,G252
文检课实习指导书的定位与功能," 论述文检课实习指导书仿真性和实践性的特点及其功能,指出实习指导 书在文检课教学过程中对培养学生获取和处理知识情报的综合能力有重要作用。",文检课实习指导书;;定位;;功能;,2001/4/15,"张海燕,史继红",无单位信息,医学情报工作,G252
顺应时代需求 注重培养综合型信息人才," 探讨事业单位如何顺应时代要求,培训综合型信息人才。",事业单位;;综合型信息人才;;培养;,2001/4/15,蒋桂芹,中国医学科学院医学信息研究所 100020,医学情报工作,G258
高等医学院校图书馆开展信息素质教育的意义与措施," 分析了信息素质教育的内涵,对高等医学院校图书馆开展信息素质教育 的必要性进行论述,并探讨了开展信息素质教育的措施。",高等医学院校图书馆;;信息素质教育;;意义;;措施;,2001/4/15,"马丹,郑垦荒",无单位信息,医学情报工作,G258
纳米生物," &lt;正&gt; 1概念1.1 纳米 即毫微米是nanometer的中文简称,符号是nm 1米=1000毫米 1毫米=1000微米 1微米=1000毫微米 1毫微米(纳米) =1米×1/1 000×1/1 000 × 1/1 000 =1/1000 000 000米,即10亿分之一米",,2001/4/15,王汝宽,中国医学科学院医学信息研究所 100020,医学情报工作,Q939
2000年中国十大科技进展新闻," &lt;正&gt; 1我国超级杂交稻研究取得重大成果 我国超级杂交稻先锋组合两优培九的试验示范表明,1 075亩中稻示范片平均亩产达到703.5公斤。 2我国在世界上率先破译对虾病毒遗传密码",,2001/4/15,,无单位信息,医学情报工作,N09
2000年世界十大科技进展新闻, &lt;正&gt;1科学家公布人类基因组“工作框架图” 参与人类基因组计划的美、日、法、德、英、中六国政府和有关科学家2000年6月26日宣布人类基,,2001/4/15,,无单位信息,医学情报工作,N09
全国医学信息(情报)机构体制改革与发展工作研讨会会议纪要," &lt;正&gt; 全国医学信息(情报)机构改革与发展工作研讨会于2000年9月18～21日在河北省承德市召开。这次会议是在卫生部科教司的关怀指导下,由卫生部医学信息工作管理委员会办公室主持召开的。来自全国各省、市、自治区及计划单列市医学信息(情报)机构和高等医学院校",,2001/2/15,,无单位信息,医学情报工作,R-5
省市医学情报机构改革和发展的思路, 阐述有关省市级医学情报机构改革和发展的几点思路。,医学情报机构;;改革;;发展;,2001/2/15,谢超锋,上海市医学科学技术情报研究所 200031,医学情报工作,R-5
深化科技体制改革 适应科技创新要求, 介绍广东省医学情报所体制改革的做法。,广东省;;医学情报所;;改革;,2001/2/15,"于秀章,张素文",无单位信息,医学情报工作,R-5
增强科技服务意识 促进医学科技进步," 宁波医学信息研究所充分利用自身优势,在增强科技服务意识,促进医 学科技进步方面做了大量工作并取得突出成绩,积累了宝贵的经验。",医学科技;;信息服务;;宁波市;,2001/2/15,陆传统,宁波市医学信息研究所 315000,医学情报工作,R-5
新的世纪 新的服务——欢迎使用国家科技文献资源网络服务系统," &lt;正&gt; 在跨入新世纪之际,一项全新的网络化科技信息服务将呈现给各界用户。国家科技文献资源网络服务系统定于2000年12月26日正式开通,向全国乃至全世界的科技工作者提供科技文献检索和全文提供服务。所有互联网用户均可通过网络免费查询该系统提供的各类型文献文摘数据库(系统每天24小时开通,节假日照常)。如果需要全文,可联机向系统提出请求",,2001/2/15,,无单位信息,医学情报工作,G358
知识经济与图书情报工作," 分析知识经济的特征,论述知识经济对图书情报工作而言既是挑战又是机遇,强调图书情报是文明发展的依托,提出图书馆改革的三大方向。",知识经济;;图书情报;;图书馆;;知识管理;;开发;,2001/2/15,"符雄,秦惠基",无单位信息,医学情报工作,R-5
论航空医学信息研究工作的方向," 针对当前航空医学信息研究工作面临的问题,提出应加强文献信息支持系统和人员队伍建设,采用现代信息技术,开展以宏观导向性信息研究、信息检索与信息咨询服务、专业数据库的研制开发为主的航空医学信息研究工作。",航空医学;;信息;;信息研究;,2001/2/15,孙巍,空军航空医学研究所 100036,医学情报工作,R-5
山东省医学科技发展概况浅析," 为了解我省医学科技发展概况,现将1991～1996年获厅级以上奖励的成果按地区分布、获奖等级、学科分类、获奖年代与单位类别的关系、荻奖年代与奖励等级分布等情况进行分析,评估我省医学科研动态,为科研管理部门提供决策依据。",山东;;医学科技;;发展;;成果;,2001/2/15,"冷荣新,杨文兰,王敏,卢朝晖,孙燕,代旭东",无单位信息,医学情报工作,R-5
杭州市卫生信息化建设现状及对策研究," 通过分析杭州市卫生系统信息化工作的现状,提出了未来开展信息化工 作的对策。",卫生系统;;信息化建设;;杭州市;,2001/2/15,"戚英,应心,何炜",无单位信息,医学情报工作,R-5
网上医学临床试验信息资源, 简介如何利用网上Clinical Trials数据库查询新药或新的诊疗方法的有 关信息。,网络;;数据库;;临床试验;;Clincal Trals;;检索;,2001/2/15,诸文雁,中国医学科学院医学信息研究所 100020,医学情报工作,R-5
